codLocaleProgetto,ocStatoProgetto,ocCodCategoriaSpesa,longitude,latitude,codTemaSintetico
3TO2685.28022017.107000015_1015,In corso,90,11.1231647,43.9686095,5
3TO2685.28022017.107000018_1018,In corso,90,10.308857,43.5525705,5
3TO2685.28022017.107000019_1019,In corso,90,10.4719296,43.4053054,5
3TO2685.28022017.107000023_1023,In corso,90,11.4398371,43.7758064,5
3TO6621.22072016.100000001_1001,In corso,94,11.9853365,43.2750241,6
3TO6621.22072016.100000001_1002,Non avviato,94,10.5269309,42.9219579,6
3TO6621.22072016.100000002_1003,In corso,94,11.9851671,43.2757138,6
3TO6621.22072016.100000005_1004,Non avviato,94,11.9742009,43.2813489,6
3TO6621.22072016.100000009_1008,In corso,94,11.3285296,43.3172067,6
3TO6621.22072016.100000009_1009,In corso,94,11.2231148,43.3903249,6
3TO6621.22072016.100000009_1010,In corso,94,10.5333003,43.8449553,6
3TO6621.22072016.100000009_1011,Non avviato,94,11.0442468,43.4702264,6
3TO6621.22072016.100000009_1012,In corso,94,11.4901382,43.0563768,6
3TOA19_086_2016_0860005_1006,Non avviato,94,10.9143474,43.9355928,6
3TOA19_086_2016_0860006_1005,In corso,94,11.2496823,43.7719657,6
3TOA19_086_2016_0860007_1007,In corso,094:::095,11.0968643,43.8806627,6
4TOACTION,In corso,85,10.5758839,43.849718,5
4TOADAPT,In corso,87,11.2696649,43.7685665,5
4TOALACRES2,In corso,85,8.9265876,44.4145417,5
4TOALIEM,In corso,85,9.0960545,39.2409414,5
4TOARTLABEXPER,In corso,85,8.9265876,44.4145417,5
4TOCAMBIO-VIA,In corso,85,8.9370883,44.4061513,5
4TOCIEVP,In corso,93,8.3267997,40.5471211,6
4TOCambusa,In corso,85,8.5675119,40.7218498,5
4TODECIBEL,In corso,85,8.9602032,44.403582,5
4TOEJOB,In corso,85,10.5015458,43.841211,5
4TOEXTRA,In corso,85,10.1409703,44.0365646,5
4TOEasyLog,In corso,85,9.1152567,39.2171648,5
4TOEcoSTRIM,In corso,85,8.4521329,44.2986501,5
4TOF&WMarketPlace,In corso,93,10.4061408,43.7091966,6
4TOGEREMIA,In corso,85,8.925526,44.4153701,5
4TOGIAS,In corso,85,8.8848454,44.4115947,5
4TOGIM,In corso,85,8.4842334,44.3089606,5
4TOGIREPAM,In corso,85,9.1050982,39.2189645,5
4TOGNLFACILE,In corso,85,10.3068043,43.5538927,5
4TOGRAMAS,In corso,87,10.5446395,42.9290591,5
4TOGRITACCESS,In corso,85,9.1031046,39.2207162,5
4TOGRRinPORT,In corso,85,9.1152567,39.2171648,5
4TOIMPACT,In corso,85,12.3499009,45.4348502,5
4TOIMPATTI-NO,In corso,85,9.1152567,39.2171648,5
